"","Individual","Age","Age.Class","Zoo","Sex","Session","Phase","OverallTrial","Trial.by.door","Motivation","Motperdoor","Persistence","Diversity","ActionDiv","BodyDiv","Solved","Door.type","LatToSolve","IntLatToSolve","TotalSessTime","Innovation","Neophilia","Notes"
"1","Ajay",1,"Juvenile","RGZ","M",1,1,1,1,1061,1061,0,0,0,0,0,"push",NA,NA,1061,2,100,"max neophilia= 100"
"2","Ajay",1,"Juvenile","RGZ","M",1,1,2,2,1061,1061,0,0,0,0,0,"push",NA,NA,1061,2,100,""
"3","Ajay",1,"Juvenile","RGZ","M",1,1,3,3,1061,1061,0,0,0,0,0,"push",NA,NA,1061,2,100,""
"4","Ajay",1,"Juvenile","RGZ","M",2,1,4,1,85.489,1176.609,0.130787552,7,5,3,1,"push","1351.91",176.813,1584.968,2,100,""
"5","Ajay",1,"Juvenile","RGZ","M",2,1,5,2,85.489,219.577,0.049142274,1,1,1,0,"push",NA,NA,1584.968,2,100,""
"6","Ajay",1,"Juvenile","RGZ","M",2,1,6,3,85.489,219.577,0.049142274,1,1,1,0,"push",NA,NA,1584.968,2,100,""
"7","Ajay",1,"Juvenile","RGZ","M",1,2,7,1,5.519,793.557,0.244499277,6,4,3,0,"push",NA,NA,1052.089,2,100,""
"8","Ajay",1,"Juvenile","RGZ","M",1,2,8,2,5.519,793.557,0.244499277,6,4,3,0,"push",NA,NA,1052.089,2,100,""
"9","Ajay",1,"Juvenile","RGZ","M",1,2,9,3,5.519,793.557,0.244499277,6,4,3,0,"push",NA,NA,1052.089,2,100,""
"10","Ajay",1,"Juvenile","RGZ","M",2,2,10,1,5.005,89.044,0.441938811,3,3,1,1,"pull","159.995",70.708,1055.091,2,100,"push door left open"
"11","Ajay",1,"Juvenile","RGZ","M",2,2,11,2,5.005,304.326,0.72280962,8,5,4,0,"slide",NA,NA,1055.091,2,100,""
"12","Batu",5,"Juvenile","RGZ","M",1,1,1,1,74.724,74.724,0.160071664,3,1,2,1,"push","90.422",14.474,161.419,3,74.724,""
"13","Batu",5,"Juvenile","RGZ","M",1,1,2,2,74.724,0,1,0,0,0,1,"push","0.624",0.624,161.419,3,74.724,""
"14","Batu",5,"Juvenile","RGZ","M",1,1,3,3,74.724,4,0.943160019,7,4,4,1,"push","70.373",66.373,161.419,3,74.724,""
"15","Batu",5,"Juvenile","RGZ","M",2,1,4,1,5.253,5.253,0.897179492,3,2,3,1,"push","53.501",48,66.544,3,74.724,""
"16","Batu",5,"Juvenile","RGZ","M",2,1,5,2,5.253,0,1,0,0,0,1,"push","5.789",5.789,66.544,3,74.724,""
"17","Batu",5,"Juvenile","RGZ","M",2,1,6,3,5.253,0,1,0,0,0,1,"push","7.254",7.254,66.544,3,74.724,""
"18","Batu",5,"Juvenile","RGZ","M",1,2,7,1,7.427,14.4,0.756943292,3,3,2,1,"pull","60.274",45.624,518.267,3,74.724,""
"19","Batu",5,"Juvenile","RGZ","M",1,2,8,2,7.427,0,1,0,0,0,1,"push","0.859",0.859,518.267,3,74.724,""
"20","Batu",5,"Juvenile","RGZ","M",1,2,9,3,7.427,56.217,0.87702293,16,8,6,1,"slide","457.134",400.917,518.267,3,74.724,""
"21","Batu",5,"Juvenile","RGZ","M",2,2,10,1,2.997,2.997,0.895732619,1,1,1,1,"push","28.753",25.755,1044.601,3,74.724,""
"22","Batu",5,"Juvenile","RGZ","M",2,2,11,2,2.997,32.29,0.666346343,7,6,3,1,"pull","96.777",64.487,1044.601,3,74.724,""
"23","Batu",5,"Juvenile","RGZ","M",2,2,12,3,2.997,92.711,0.915470021,11,7,5,0,"slide",NA,NA,1044.601,3,74.724,""
"24","Doc",23,"Adult","RGZ","M",1,1,1,1,88.742,167.986,0.448843466,4,1,3,1,"push","304.79",136.803,503.744,3,88.742,""
"25","Doc",23,"Adult","RGZ","M",1,1,2,2,88.742,1.991,0.979087013,3,2,2,1,"push","95.204",93.213,503.744,3,88.742,""
"26","Doc",23,"Adult","RGZ","M",1,1,3,3,88.742,0,0.773840964,3,1,2,1,"push","103.75",80.286,503.744,3,88.742,""
"27","Doc",23,"Adult","RGZ","M",2,1,4,1,8.503,8.503,0.820340563,1,1,1,1,"push","51.503",42.25,921.29,3,88.742,""
"28","Doc",23,"Adult","RGZ","M",2,1,5,2,8.503,450.242,0.481707191,8,4,4,1,"push","868.702",418.46,921.29,3,88.742,""
"29","Doc",23,"Adult","RGZ","M",2,1,6,3,8.503,0,1,1,1,1,1,"push","1.085",1.085,921.29,3,88.742,""
"30","Doc",23,"Adult","RGZ","M",1,2,7,1,3.208,73.656,0.566956451,3,2,3,1,"push","170.932",96.911,1183.661,3,88.742,""
"31","Doc",23,"Adult","RGZ","M",1,2,8,2,3.208,85.99,0.49565095,6,3,4,1,"slide","170.497",84.507,1183.661,3,88.742,""
"32","Doc",23,"Adult","RGZ","M",1,2,9,3,3.208,476.403,0.434356567,10,6,5,1,"pull","842.232",365.829,1183.661,3,88.742,""
"33","Doc",23,"Adult","RGZ","M",2,2,10,1,6.982,6.982,0.646161642,0,0,0,1,"push","19.735",12.752,1047.825,3,88.742,""
"34","Doc",23,"Adult","RGZ","M",2,2,11,2,6.982,16.723,0.818718902,5,2,3,1,"slide","92.249",75.526,1047.825,3,88.742,""
"35","Doc",23,"Adult","RGZ","M",2,2,12,3,6.982,291.325,0.688716352,9,5,5,0,"pull",NA,NA,1047.825,3,88.742,""
"36","Kirina",25,"Adult","RGZ","F",1,1,1,1,6.5,6.5,0.653577708,3,2,1,1,"push","18.769",12.267,103.005,3,6.5,""
"37","Kirina",25,"Adult","RGZ","F",1,1,2,2,6.5,0,1,1,1,1,1,"push","18.727",18.727,103.005,3,6.5,""
"38","Kirina",25,"Adult","RGZ","F",1,1,3,3,6.5,9.517,0.854722252,6,4,4,1,"push","65.509",55.992,103.005,3,6.5,""
"39","Kirina",25,"Adult","RGZ","F",2,1,4,1,3.76,3.76,0.407467773,0,0,0,1,"push","6.749",2.75,65.293,3,6.5,""
"40","Kirina",25,"Adult","RGZ","F",2,1,5,2,3.76,0,1,0,0,0,1,"push","2.754",2.754,65.293,3,6.5,""
"41","Kirina",25,"Adult","RGZ","F",2,1,6,3,3.76,0,1,3,2,1,1,"push","55.79",55.79,65.293,3,6.5,""
"42","Kirina",25,"Adult","RGZ","F",1,2,7,1,3.552,3.552,0.894922071,3,2,1,1,"push","33.813",30.26,493.722,3,6.5,""
"43","Kirina",25,"Adult","RGZ","F",1,2,8,2,3.552,0,1,11,7,5,1,"pull","127.586",127.586,493.722,3,6.5,""
"44","Kirina",25,"Adult","RGZ","F",1,2,9,3,3.552,5.123,0.984584275,9,5,5,1,"slide","332.323",327.2,493.722,3,6.5,""
"45","Kirina",25,"Adult","RGZ","F",2,2,10,1,4.25,4.25,0.671895425,1,1,1,1,"push","13.005",8.738,538.499,3,6.5,""
"46","Kirina",25,"Adult","RGZ","F",2,2,11,2,4.25,82.027,0.507321673,6,4,2,1,"slide","166.503",84.465,538.499,3,6.5,""
"47","Kirina",25,"Adult","RGZ","F",2,2,12,3,4.25,133.746,0.627450543,10,6,4,1,"pull","358.991",225.256,538.499,3,6.5,""
"48","Mali",23,"Adult","RGZ","F",1,1,1,1,4.471,4.471,0.094920057,1,1,1,1,"push","4.941",0.469,186.141,3,4.471,""
"49","Mali",23,"Adult","RGZ","F",1,1,2,2,4.471,0,1,0,0,0,1,"push","0.698",0.698,186.141,3,4.471,""
"50","Mali",23,"Adult","RGZ","F",1,1,3,3,4.471,153.149,0.151538487,1,1,1,1,"push","180.502",27.353,186.141,3,4.471,""
"51","Mali",23,"Adult","RGZ","F",2,1,4,1,3.25,3.25,0.566608881,0,0,0,1,"push","7.499",4.249,94.27,3,4.471,""
"52","Mali",23,"Adult","RGZ","F",2,1,5,2,3.25,39.038,0.536618949,1,1,1,1,"push","84.246",45.208,94.27,3,4.471,""
"53","Mali",23,"Adult","RGZ","F",2,1,6,3,3.25,0,1,1,1,1,1,"push","2.525",2.525,94.27,3,4.471,""
"54","Mali",23,"Adult","RGZ","F",1,2,7,1,2.472,2.472,0.798271114,1,1,1,1,"push","13.072",10.435,545.042,3,4.471,""
"55","Mali",23,"Adult","RGZ","F",1,2,8,2,2.472,213.036,0.521665132,10,6,5,1,"pull","445.37",232.334,545.042,3,4.471,""
"56","Mali",23,"Adult","RGZ","F",1,2,9,3,2.472,0,1,7,5,4,1,"slide","86.6",86.6,545.042,3,4.471,""
"57","Mali",23,"Adult","RGZ","F",2,2,10,1,3.005,3.005,0.247876062,0,0,0,1,"push","4.002",0.992,548.544,3,4.471,""
"58","Mali",23,"Adult","RGZ","F",2,2,11,2,3.005,105.485,0.60528876,7,3,4,1,"slide","267.246",161.761,548.544,3,4.471,""
"59","Mali",23,"Adult","RGZ","F",2,2,12,3,3.005,78.236,0.717861058,8,5,4,1,"pull","277.296",199.06,548.544,3,4.471,""
"60","Romani",43,"Adult","RGZ","F",1,1,1,1,6.752,35.756,0.679278059,3,2,1,1,"push","112.253",76.251,278.75,3,6.752,""
"61","Romani",43,"Adult","RGZ","F",1,1,2,2,6.752,11.264,0.887929319,4,3,1,1,"push","100.508",89.244,278.75,3,6.752,""
"62","Romani",43,"Adult","RGZ","F",1,1,3,3,6.752,4.507,0.931700738,0,0,0,1,"push","65.989",61.482,278.75,3,6.752,""
"63","Romani",43,"Adult","RGZ","F",2,1,4,1,5.501,5.501,0.848314452,2,1,2,1,"push","36.279",30.776,216.042,3,6.752,""
"64","Romani",43,"Adult","RGZ","F",2,1,5,2,5.501,0,1,3,2,2,1,"push","55.266",55.266,216.042,3,6.752,""
"65","Romani",43,"Adult","RGZ","F",2,1,6,3,5.501,0,1,6,3,3,1,"push","124.497",124.497,216.042,3,6.752,""
"66","Romani",43,"Adult","RGZ","F",1,2,7,1,5.002,5.002,0.816006513,2,2,1,1,"pull","28.251",23.053,1046.331,3,6.752,""
"67","Romani",43,"Adult","RGZ","F",1,2,8,2,5.002,0,0.941510163,7,3,3,1,"push","187.546",187.546,1046.331,3,6.752,""
"68","Romani",43,"Adult","RGZ","F",1,2,9,3,5.002,22.449,0.990274856,12,8,4,0,"slide",NA,NA,1046.331,3,6.752,""
"69","Romani",43,"Adult","RGZ","F",2,2,10,1,8.233,8.233,0.682572614,2,2,1,1,"pull","27.474",18.753,384.47,3,6.752,""
"70","Romani",43,"Adult","RGZ","F",2,2,11,2,8.233,23.001,0.717004811,2,1,1,1,"push","81.277",58.276,384.47,3,6.752,""
"71","Romani",43,"Adult","RGZ","F",2,2,12,3,8.233,24.01,0.912918587,9,6,4,1,"slide","275.719",251.709,384.47,3,6.752,""
"72","Siri",52,"Adult","RGZ","F",1,1,1,1,8.237,8.237,0.056897539,1,1,1,1,"push","8.735",0.497,1858.592,1,8.237,""
"73","Siri",52,"Adult","RGZ","F",1,1,2,2,8.237,88.392,0.519462445,1,1,1,1,"push","183.944",95.552,1858.592,1,8.237,""
"74","Siri",52,"Adult","RGZ","F",1,1,3,3,8.237,1085.204,0.348667067,4,4,1,0,"push",NA,NA,1858.592,1,8.237,""
"75","Siri",52,"Adult","RGZ","F",2,1,4,1,6.239,6.239,0.768786127,2,2,2,1,"push","26.988",20.748,1800.849,1,8.237,""
"76","Siri",52,"Adult","RGZ","F",2,1,5,2,6.239,0,1,0,0,0,1,"push","51.373",51.373,1800.849,1,8.237,""
"77","Siri",52,"Adult","RGZ","F",2,1,6,3,6.239,1143.649,0.336257205,3,3,1,0,"push",NA,NA,1800.849,1,8.237,""
"78","Siri",52,"Adult","RGZ","F",1,2,7,1,5.048,5.048,0.914191572,2,2,2,1,"push","64.947",59.374,1042.77,1,8.237,""
"79","Siri",52,"Adult","RGZ","F",1,2,8,2,5.048,625.12,0.223739879,3,2,1,0,"slide",NA,NA,1042.77,1,8.237,""
"80","Siri",52,"Adult","RGZ","F",1,2,9,3,5.048,625.12,0.223739879,3,2,1,0,"pull",NA,NA,1042.77,1,8.237,""
"81","Siri",52,"Adult","RGZ","F",2,2,10,1,5.747,936.293,0.102369314,1,1,1,0,"pull",NA,NA,1043.34,1,8.237,""
"82","Siri",52,"Adult","RGZ","F",2,2,11,2,5.747,936.293,0.102369314,1,1,1,0,"slide",NA,NA,1043.34,1,8.237,""
"83","Targa",37,"Adult","RGZ","F",1,1,1,1,3.704,21.806,0.613063134,5,2,4,1,"push","57.291",35.123,80.542,1,3.704,""
"84","Targa",37,"Adult","RGZ","F",1,1,2,2,3.704,0,1,3,1,3,1,"push","22.602",22.602,80.542,1,3.704,""
"85","Targa",37,"Adult","RGZ","F",1,1,3,3,3.704,0,1,1,1,1,1,"push","0.649",0.649,80.542,1,3.704,""
"86","Targa",37,"Adult","RGZ","F",2,1,4,1,3.76,3.76,0.824181139,4,2,3,1,"push","22.745",18.746,238.494,1,3.704,""
"87","Targa",37,"Adult","RGZ","F",2,1,5,2,3.76,0,1,0,0,0,1,"push","0.998",0.998,238.494,1,3.704,""
"88","Targa",37,"Adult","RGZ","F",2,1,6,3,3.76,46.497,0.637906226,9,5,5,1,"push","214.751",136.991,238.494,1,3.704,""
"89","Targa",37,"Adult","RGZ","F",1,2,7,1,2.852,42.174,0.790190615,7,5,4,1,"push","203.499",160.803,1043.146,1,3.704,""
"90","Targa",37,"Adult","RGZ","F",1,2,8,2,2.852,605.75,0.278577783,8,5,5,0,"pull",NA,NA,1043.146,1,3.704,""
"91","Targa",37,"Adult","RGZ","F",1,2,9,3,2.852,605.75,0.278577783,8,5,5,0,"slide",NA,NA,1043.146,1,3.704,""
"92","Targa",37,"Adult","RGZ","F",2,2,10,2,2.489,2.489,0.095473931,5,1,1,0,"slide",NA,NA,1041.08,1,3.704,"removed solved push door since wouldn't have been there"
"93","Targa",37,"Adult","RGZ","F",2,2,11,3,2.489,938.437,0.095473931,5,3,4,0,"pull",NA,NA,1041.08,1,3.704,""
"94","Achara",4,"Juvenile","OKC","F",1,1,1,1,90.419,166.253,0.528235119,6,5,2,0,"push",NA,NA,335.87,3,90.419,"access with Asha, didn't capture approach but assume access the whole time Asha was there"
"95","Achara",4,"Juvenile","OKC","F",1,1,2,2,90.419,166.253,0.528235119,6,5,2,0,"push",NA,NA,335.87,3,90.419,""
"96","Achara",4,"Juvenile","OKC","F",1,1,3,3,90.419,166.253,0.528235119,6,5,2,0,"push",NA,NA,335.87,3,90.419,""
"97","Achara",4,"Juvenile","OKC","F",2,1,4,1,3.251,3.5,0.86,1,1,1,1,"push","25",21.5,865.599,3,90.419,""
"98","Achara",4,"Juvenile","OKC","F",2,1,5,2,3.251,24.998,0.642952023,2,2,2,1,"push","70.013",45.015,865.599,3,90.419,""
"99","Achara",4,"Juvenile","OKC","F",2,1,6,3,3.251,467.504,0.379787357,10,6,5,0,"push",NA,NA,865.599,3,90.419,""
"100","Achara",4,"Juvenile","OKC","F",1,2,7,1,1.499,13.249,0.725405674,2,2,1,1,"push","48.253",35.003,765.608,3,90.419,""
"101","Achara",4,"Juvenile","OKC","F",1,2,8,2,1.499,151.006,0.564619692,10,7,4,1,"pull","346.837",195.831,765.608,3,90.419,""
"102","Achara",4,"Juvenile","OKC","F",1,2,9,3,1.499,75.51,0.796204233,9,6,4,1,"slide","370.518",295.008,765.608,3,90.419,""
"103","Achara",4,"Juvenile","OKC","F",2,2,10,1,15,15,0.623852303,4,3,1,1,"pull","40.407",25.208,1016.421,3,90.419,"started interacting from behind, can't see approach"
"104","Achara",4,"Juvenile","OKC","F",2,2,11,2,15,0,1,1,1,1,1,"push","1.495",1.495,1016.421,3,90.419,""
"105","Achara",4,"Juvenile","OKC","F",2,2,12,3,15,245.056,0.748536199,15,7,5,1,"slide","974.518",729.462,1016.421,3,90.419,""
"106","Bamboo",51,"Adult","OKC","F",1,1,1,1,2.244,50.248,0.595977536,5,5,3,1,"push","124.998",74.496,317.253,2,2.244,""
"107","Bamboo",51,"Adult","OKC","F",1,1,2,2,2.244,0,1,0,0,0,1,"push","0.506",0.506,317.253,2,2.244,""
"108","Bamboo",51,"Adult","OKC","F",1,1,3,3,2.244,3.751,0.980437968,6,5,2,1,"push","191.749",187.998,317.253,2,2.244,""
"109","Bamboo",51,"Adult","OKC","F",2,1,4,1,1.25,1.25,0.800351101,1,1,1,1,"push","6.266",5.015,238.506,2,2.244,""
"110","Bamboo",51,"Adult","OKC","F",2,1,5,2,1.25,0,1,3,3,2,1,"push","85.077",85.077,238.506,2,2.244,""
"111","Bamboo",51,"Adult","OKC","F",2,1,6,3,1.25,44.503,0.697593825,6,6,3,1,"push","147.163",102.66,238.506,2,2.244,""
"112","Bamboo",51,"Adult","OKC","F",1,2,7,1,1,1,0.945129639,2,2,2,1,"push","18.243",17.242,1648.295,2,2.244,""
"113","Bamboo",51,"Adult","OKC","F",1,2,8,2,1,105.001,0.51409122,7,6,4,1,"slide","216.092",111.091,1648.295,2,2.244,""
"114","Bamboo",51,"Adult","OKC","F",1,2,9,3,1,1007.728,0.347757325,10,6,4,0,"pull",NA,NA,1648.295,2,2.244,""
"115","Bamboo",51,"Adult","OKC","F",2,2,10,1,4.237,1163.531,0.337739177,16,7,5,0,"pull",NA,NA,1756.909,2,2.244,""
"116","Chandra",22,"Adult","OKC","F",1,1,1,1,0.755,259.282,0.28392802,7,5,3,1,"push","362.768",103,1271.461,3,0.755,""
"117","Chandra",22,"Adult","OKC","F",1,1,2,2,0.755,124.246,0.393350813,6,5,2,1,"push","204.807",80.561,1271.461,3,0.755,""
"118","Chandra",22,"Adult","OKC","F",1,1,3,3,0.755,570.873,0.196480826,5,5,3,1,"push","NA ",133.013,1271.461,3,0.755,""
"119","Chandra",22,"Adult","OKC","F",2,1,4,1,27.487,27.487,0.207402115,0,0,0,1,"push","34.99",7.257,1108.828,3,0.755,""
"120","Chandra",22,"Adult","OKC","F",2,1,5,2,27.487,0,1,3,3,2,1,"push","38.243",38.243,1108.828,3,0.755,""
"121","Chandra",22,"Adult","OKC","F",2,1,6,3,27.487,872.084,0.157890874,3,1,3,1,"push","1035.595",163.511,1108.828,3,0.755,""
"122","Chandra",22,"Adult","OKC","F",1,2,7,1,4.001,4,0.906392534,2,2,2,1,"push","42.753",38.751,980.269,3,0.755,""
"123","Chandra",22,"Adult","OKC","F",1,2,8,2,4.001,450.256,0.133693255,3,2,3,1,"slide","519.742",69.486,980.269,3,0.755,""
"124","Chandra",22,"Adult","OKC","F",1,2,9,3,4.001,347.998,0.167018532,5,4,3,1,"pull","417.774",69.776,980.269,3,0.755,""
"125","Chandra",22,"Adult","OKC","F",2,2,10,1,35.757,35.757,0.444206009,3,2,2,1,"push","64.774",28.773,1934.318,3,0.755,""
"126","Chandra",22,"Adult","OKC","F",2,2,11,2,35.757,1700.306,0.090944558,5,5,3,0,"pull",NA,NA,1934.318,3,0.755,""
"127","Chandra",22,"Adult","OKC","F",2,2,12,3,35.757,1700.306,0.090944558,5,5,3,0,"slide",NA,NA,1934.318,3,0.755,""
"128","Kandula",17,"Adult","OKC","M",1,1,1,1,2.749,2.749,0.866771384,1,1,1,1,"push","21.009",18.21,126.255,2,2.749,""
"129","Kandula",17,"Adult","OKC","M",1,1,2,2,2.749,0,1,1,1,1,1,"push","10.499",10.499,126.255,2,2.749,""
"130","Kandula",17,"Adult","OKC","M",1,1,3,3,2.749,56.246,0.406355874,5,5,3,1,"push","94.747",38.501,126.255,2,2.749,""
"131","Kandula",17,"Adult","OKC","M",2,1,4,1,15.503,15.503,0.074498567,0,0,0,1,"push","16.752",1.248,1016.769,2,2.749,""
"132","Kandula",17,"Adult","OKC","M",2,1,5,2,15.503,244.521,0.215879246,6,4,2,1,"push","311.841",67.32,1016.769,2,2.749,""
"133","Kandula",17,"Adult","OKC","M",2,1,6,3,15.503,459.023,0.332986038,13,6,5,1,"push","688.176",229.153,1016.769,2,2.749,""
"134","Kandula",17,"Adult","OKC","M",1,2,7,1,1.002,1.002,0.957862253,2,2,2,1,"push","35.645",34.143,1506.889,2,2.749,""
"135","Kandula",17,"Adult","OKC","M",1,2,8,2,1.002,101.005,0.577200958,10,7,4,1,"slide","238.896",137.891,1506.889,2,2.749,"I think open enough here, but potentially solve at around 9 min"
"136","Kandula",17,"Adult","OKC","M",1,2,9,3,1.002,1155.738,0.062249278,6,4,3,0,"pull",NA,NA,1506.889,2,2.749,""
"137","Kandula",17,"Adult","OKC","M",2,2,10,1,1.751,1540.606,0.216878827,12,7,5,0,"pull",NA,NA,1968.869,2,2.749,""
"138","Rex",51,"Adult","OKC","M",1,1,1,1,31.749,72.633,0.155936954,2,2,1,1,"push","86.349",13.465,1282.199,3,31.749,""
"139","Rex",51,"Adult","OKC","M",1,1,2,2,31.749,58.039,0.436591143,2,2,2,1,"push","103.014",44.975,1282.199,3,31.749,""
"140","Rex",51,"Adult","OKC","M",1,1,3,3,31.749,983.864,0.099820003,4,4,2,0,"push",NA,108.972,1282.199,3,31.749,""
"141","Rex",51,"Adult","OKC","M",2,1,4,1,2.759,18.766,0.623116365,2,2,2,1,"push","51.098",31.84,452.267,3,31.749,""
"142","Rex",51,"Adult","OKC","M",2,1,5,2,2.759,0,1,0,0,0,1,"push","0.667",0.667,452.267,3,31.749,""
"143","Rex",51,"Adult","OKC","M",2,1,6,3,2.759,235.683,0.411531029,5,4,2,1,"push","400.502",164.819,452.267,3,31.749,""
"144","Rex",51,"Adult","OKC","M",1,2,7,1,4.254,4.254,0.814716917,0,0,0,1,"pull","23.456",19.11,827.008,3,31.749,""
"145","Rex",51,"Adult","OKC","M",1,2,8,2,4.254,322.945,0.367810804,5,4,2,1,"push","510.836",187.891,827.008,3,31.749,""
"146","Rex",51,"Adult","OKC","M",1,2,9,3,4.254,181.737,0.313819538,2,2,1,1,"slide","292.716",91.86,827.008,3,31.749,""
"147","Rex",51,"Adult","OKC","M",2,2,10,1,11.503,11.503,0.276769789,1,1,1,1,"push","16.259",4.5,378.269,3,31.749,""
"148","Rex",51,"Adult","OKC","M",2,2,11,2,11.503,14.515,0.813960344,4,4,1,1,"pull","78.021",63.506,378.269,3,31.749,""
"149","Rex",51,"Adult","OKC","M",2,2,12,3,11.503,155.98,0.450753374,6,5,2,1,"slide","283.989",128.009,378.269,3,31.749,""
